2019-04-03 21:14:02,512 [AWT-EventQueue-0] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2019-04-03 21:14:02,533 [AWT-EventQueue-0] INFO  marytts.JTokeniser Starting power-on self test.
2019-04-03 21:14:02,542 [AWT-EventQueue-0] INFO  marytts.JTokeniser Power-on self test complete.
2019-04-03 21:14:02,542 [AWT-EventQueue-0] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2019-04-03 21:14:02,542 [AWT-EventQueue-0] INFO  marytts.Preprocess Starting power-on self test.
2019-04-03 21:14:02,543 [AWT-EventQueue-0] INFO  marytts.Preprocess Expanding say-as elements...
2019-04-03 21:14:02,543 [AWT-EventQueue-0] INFO  marytts.Preprocess Matching and expanding patterns...
2019-04-03 21:14:02,565 [AWT-EventQueue-0] INFO  marytts.Preprocess Done.
2019-04-03 21:14:02,565 [AWT-EventQueue-0] INFO  marytts.Preprocess Power-on self test complete.
2019-04-03 21:14:02,565 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2019-04-03 21:14:02,868 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2019-04-03 21:14:02,868 [AWT-EventQueue-0] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2019-04-03 21:14:02,868 [AWT-EventQueue-0] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2019-04-03 21:14:02,876 [AWT-EventQueue-0] INFO  marytts.JPhonemiser_de Starting power-on self test.
2019-04-03 21:14:02,876 [AWT-EventQueue-0] INFO  marytts.JPhonemiser_de Power-on self test complete.
2019-04-03 21:14:02,883 [AWT-EventQueue-0] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2019-04-03 21:14:02,883 [AWT-EventQueue-0] INFO  marytts.Prosody Starting power-on self test.
2019-04-03 21:14:02,883 [AWT-EventQueue-0] INFO  marytts.Prosody Power-on self test complete.
